table_id,author_name,year,reference_number
39,DeSantis,1975,1
39,Bond,1958,2
39,Wolfenson,1978,3
39,Wolfenson,1981,4
39,Martinez,2015,5
39,Norton,1949,6
39,Niezgoda,1982,7
39,Leeson,1980,8
