animal_id,organ_id,mean,standard_deviation,parameter_id
21,36,383.7,46.3,4
21,23,34.5,8.3,4
21,20,20.3,2.6,4
21,19,7.7,1.5,4
21,18,6.6,0.5,4
21,44,4.6,0.9,4
21,43,3.8,0.3,4
21,17,3.7,0.6,4
21,22,3.4,0.8,4
21,45,1,0.3,4
21,46,1,0.2,4
