animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string
10,27,0.007,0.002,7,1,1
10,2,6.95,1.96,112,3,"2,3,4"
10,3,6.91,0.37,52,5,"5,6,7,8,9"
10,4,13.29,4.06,76,2,"2,3"
10,5,0.54,0.14,7,1,1
10,6,5.47,3.61,148,5,"3,4,10,11,12"
10,37,2.22,0.69,315,7,"3,10,11,12,13,14,15"
10,7,1.23,0.59,279,6,"10,11,12,13,14,15"
10,10,0.38,0.17,279,6,"10,11,12,13,14,15"
10,11,0.38,0.08,286,7,"1,10,11,12,13,14,15"
10,12,2.39,1.47,146,5,"1,3,10,11,12"
10,13,1.15,0.64,110,4,"1,10,11,12"
10,14,0.53,0.2,110,4,"1,10,11,12"
10,17,0.51,0.13,228,9,"1,3,4,7,10,16,17,18,19"
10,18,0.39,0.07,119,6,"1, 3, 4, 7, 14, 16"
10,19,2.87,0.36,475,12,"1, 3, 4, 7, 10, 12, 14, 16-18, 20"
10,20,1.23,0.29,195,5,"1, 4, 7, 10, 16"
10,21,33.9,1.61,76,2,"2, 3"
10,22,0.08,0,93,1,10
10,23,0.26,0.07,192,6,"1, 3, 7, 10, 17, 22"
10,24,0.03,0.01,7,1,1
10,25,0.23,0.09,13,3,"1, 17, 21"
10,26,27.34,,,,
