animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,parameter_id,reference_string
10,6,11,4,8,1,3,1
10,17,6,2,21,2,3,"2, 3"
10,18,10,3,30,2,3,"4, 5"
10,19,30,11,12,2,3,"4, 6"
10,41,4,1,17,2,3,"6, 7"
10,42,28,9,62,12,3,"4, 6-16"
10,20,46,25,16,1,3,17
