animal_id,organ_id,mean,standard_deviation,parameter_id
15,36,20.9,12.6,4
15,23,14.6,1.9,4
15,20,24.8,2.9,4
15,19,5.7,0.5,4
15,18,7.2,0.3,4
15,27,4.9,0.8,4
15,17,3.1,0.3,4
15,22,2.2,0.1,4
15,45,1.5,0.4,4
15,46,0.8,0.02,4
