animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies
11,27,0.005,0.001,111,3
11,2,15.44,2.65,244,6
11,3,4.12,0.46,302,5
11,4,10.7,0.92,166,2
11,5,0.22,0.18,37,1
11,6,,,,
11,38,0.61,0.09,2069,17
11,12,3.69,0.64,140,2
11,13,2.19,0.39,626,18
11,14,1.47,0.39,282,11
11,15,0.2,0.03,135,5
11,16,1.68,0.24,59,3
11,17,0.37,0.07,2555,28
11,18,0.37,0.11,3261,32
11,19,2.04,0.33,4992,39
11,20,0.9,0.2,419,10
11,21,36.32,2.66,110,3
11,22,0.15,0.11,421,10
11,23,0.2,0.06,3817,23
11,24,0.011,0.01,158,6
11,25,0.28,0.03,8,1
11,39,5.28,0.81,166,2
11,26,19.29,,,
