animal_id,organ_id,mean,standard_deviation,parameter_id
10,27,3,0.2,4
10,17,2.6,0.4,4
10,18,3.7,0.3,4
10,19,7.9,2.5,4
10,20,25.1,1.8,4
10,21,,,4
10,22,2.5,0.5,4
10,44,3.4,0.7,4
10,23,31.3,1.7,4
