animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string
2,27,0.004,0.001,20,2,"1,2"
2,2,12.18,5.06,276,7,"3,4,5-9,10-12"
2,3,3.99,0.68,105,7,"13,14,16-21"
2,4,8.66,1.49,40,2,"12, 22"
2,6,5.17,0.73,90,5,"4,16,23-27"
2,7,1.81,0.53,215,5,"17,23,24,27,28"
2,10,0.65,0.17,128,3,"17,23,27"
2,11,0.28,0.13,128,3,"17,23,27"
2,12,,,,,
2,13,1,0.19,318,6,"14,16,17,19,23,27,29"
2,14,0.87,0.29,79,4,"14,16, 17,19,23"
2,15,0.08,0.03,132,2,"19,27"
2,16,0.39,0.07,93,1,27
2,17,0.43,0.08,1012,24,"2-4,14,16,17,19,20,23,24,26-30,32-41"
2,18,0.21,0.05,1282,23,"2-4,14,16,17,19-21,23,24,26-30,32,33,35,37,40,42-44"
2,19,1.22,0.18,1379,27,"2-4,14,16,17,19-30,32,35,36,39,40,42-45"
2,20,0.85,0.25,977,19,"2,4,14,17,19,20,23,24,26-30,32,33,36-38,41"
2,21,36.1,11.73,83,2,"12,46"
2,22,0.09,0.02,611,11,"14,17,19,23,24,26,27,30,37,38,42"
2,23,0.19,0.06,810,19,"3,4,11,14,16,17,19,20,23,24,26-28,30,32,33,38,40,44"
2,25,0.09,0.02,20,1,24
2,28,0.1,0.02,104,3,47-49
2,26,30.72,,,,
