animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies
12,27,0.005,0.001,55,2
12,2,14.93,2.61,122,4
12,3,3.85,0.25,104,3
12,4,8.6,0.76,86,2
12,6,,,,
12,38,0.66,0.11,324,10
12,12,3.74,0.4,60,1
12,13,1.68,0.28,273,10
12,14,1.57,0.4,183,7
12,15,0.15,0.02,27,2
12,17,0.34,0.05,377,14
12,18,0.38,0.1,1566,16
12,19,1.76,0.23,246,19
12,20,0.8,0.17,200,6
12,21,38.46,2.7,79,3
12,22,0.15,0.13,297,7
12,23,0.2,0.05,765,11
12,24,0.008,0.001,24,1
12,25,0.28,0.03,8,1
12,39,4.47,0.82,86,2
12,26,21.38,,,
