animal_id,organ_id,mean,standard_deviation,sample_size,t_test
6,2,22.2,1.63,14,0.0013*
6,12,,,,
6,13,1.12,0.1,33,0.1334
6,17,0.44,0.04,47,0.3427
6,18,0.22,0.03,47,0.1125
6,19,1.19,0.11,47,0.0002*
6,20,0.88,0.12,47,0.0012*
6,23,0.16,0.03,33,0.0014*
7,2,14,3.53,3,0.0013*
7,12,,,,
7,13,1.06,0.14,16,0.1334
7,17,0.43,0.06,24,0.3427
7,18,0.23,0.04,24,0.1125
7,19,1.06,0.15,24,0.0002*
7,20,0.76,0.16,24,0.0012*
7,23,0.24,0.06,8,0.0014*
