animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,parameter_id
21,21,28,9,13,2,3
21,18,10,9,75,4,3
21,19,46,25,331,8,3
21,41,8,7,152,2,3
21,42,39,22,399,9,3
21,33,0.08,0.07,12,3,3
21,34,0.005,0.002,3,1,3
21,28,0.03,0.01,14,1,3
