animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,parameter_id
10,6,11,4,8,1,3
10,17,6,2,21,2,3
10,18,10,3,30,2,3
10,19,30,11,12,2,3
10,41,4,1,17,2,3
10,42,28,9,62,12,3
10,20,46,25,16,1,3
