animal_id,parameter_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,range,reference_string
22,5,47,32,2.76,568,20,23.7-46.7,"1,2-20"
25,5,47,35.5,2.3,100,8,30.3-39.3,"1,2-8"
