table_id,author_name,year,reference_number,volume
19,Eisemann,1987,1,
19,Eisemann,1988,2,
19,Reynolds,1991,3,a
19,Delaquis,1995,4,
19,Deetz,1982,5,
19,Reynolds,1991,6,b
19,Huntington,1990,7,
19,Rojen,2011,8,
19,Lescoat,1996,9,
19,Ellis,2016,10,
19,Huntington,1989,11,
19,Whitt,1996,12,
19,Reynolds,1988,13,
19,Ford,1979,14,
19,Ford,1981,15,
19,Rawy,2018,16,
19,Barros Adwell,2018,17,
