table_id,reference_number,author_name,year
28,1,Tranquilli,1982
28,2,Duncker,1997
28,3,van Woerkens,1990
28,4,Manohar,1984
28,5,van Woerkens,1992
28,6,Lundeen,1983
28,7,Hannon,1990
28,8,Yen,1989
28,9,O'Connor,1992
28,10,Yen,1987
