table_id,author_name,year,reference_number
49,Mahgoub,1998,1
49,Mahgoub,1997,2
49,Ngwa,2009,3
49,Riley,1989,4
49,McKean,1974,5
49,Courtice,1943,6
49,Davis,1975,7
