table_id,author_name,year,reference_number
48,Barnes,1983,1
48,Hales,1993,2
48,Gregory,1986,3
48,Joy,2008,4
48,Murray,1976,5
48,Hansard,1956,6
48,Riley,1989,7
48,Kamalzadeh,1998,8
48,Elsley,1964,9
48,McLeod,2000,10
48,Burrin,1990,11
48,Pittroff,2006,12
