table_id,reference_number,author_name,year
23,1,Delaquis,1995
23,2,Rojen,2011
23,3,Ellis,2016
23,4,Lescoat,1996
23,5,Davis,1988
23,6,Ford,1979
23,7,Ford,1981
23,8,Rawy,2018
