animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,parameter_id,reference_string
3,18,7,10,21,1,3,1
3,19,58,19,41,2,3,"2, 3"
3,41,10,6,41,2,3,"2, 3"
3,42,49,17,41,2,3,"2, 3"
3,29,13,6,119,2,3,"4, 5"
3,33,0.075,0.069,12,3,3,"6,7,8"
3,34,0.005,0.002,3,1,3,6
