table_id,author_name,year,volume
34,Braun,2003,
34,Doyle,1960,
34,Lawrence,2011,
34,Nascimento,2015,
34,Rojen,2011,
34,Weir,1974,
35,Will,1978,
35,Bisgard,1974,
35,Fasules,1994,
35,Manohar,1982,
35,Reeves,1964,a
35,Reeves,1964,b
35,Reynolds,1991,b
36,Veum,2009,
36,Weaver,2013,
36,Brudevold,1994,
36,DeGoey,1971,
36,Gowanlock,2013,
36,Groce,1973,
36,Honeyfield,1985,
36,Hyun,2005,
36,Russett,1979,
36,Shelton,2004,
