table_id,reference_list
12,"1. Wise et al. (1993); 2. Stahly and Cromwell (1979); 3. Hood and Allen (1977); 4. Quinious and Noblet (1995); 5. Ruusunen et al. (2007); 6. Shelton et al. (2004); 7. Wiseman et al. (2007); 8. . Johnson et al. (2015); 9. Kaensombath (2013); 10. Miller and Ullrey  (1987); 11. Pond et al. (1989); 12. Chen et al. (1999); 13. Chen et al. (1995); 14. Cliplef and McKay (1993); 15. Critser et al. (1995); 16. Pond et al. (1988); 17. Yen et al. (1991); 18. Phuc and Hieu (1993); 19. Moughan et al. (1990); 20. Anugwa et al. (1989); 21. Rehfeldt et al. (2008); 22. Boleman et al. (1995); 23. Owen et al. (2001); 24. Chiba (1994); 25. Tischendorf et al. (2002); 26. Schone et al. (1996)"
13,"Davis et al., 1988; Doyle et al., 1960; Huntington et al., 1990; Nienaber et al., 1993; Weir et al., 1974; Whittow, 1965"
16,"1. Amory et al. (1993); 2. Weber et al. (1971); 3. Will et al. (1978); 4. Busch et al. (1985); 5. Huntington et al. (1989); 6. Stowe and Good (1960); 7. Waldern et al. (1963); 8. Neuwirth et al. (1979); 9. Amory et al. (1995); 10. Manohar et al. (1982); 11. Weber et al (1972)."
17,"Duncker et al., 1997; Hannon et al., 1990; Lundeen et al., 1983; Manohar & Parks, 1984; Tranquilli et al., 1982; van Woerkens et al., 1990; van Woerkens et al., 1992"
19,"1. Eisemann et al. (1987); 2. Eisemann et al. (1988); 3. Reynolds et al. (1991a)  ; 4. Delaquis and Block (1995); 5. Deetz et al. (1982); 6. Reynolds et al. (1991b) ; 7. Huntington et al. (1990); 8. Rojen et al. (2011); 9. Lescoat et al. (1996); 10. Ellis et al. (2016); 11. Huntington et al. (1989); 12. Whitt et al. (1996); 13. Reynolds and Huntington (1988); 14. Ford et al. (1979); 15. Ford and Chenault (1981); 16. Rawy et al. (2018); 17. Barros Adwell et al. (2018)."
21,"1. Eisemann et al. (1987); 2. Eisemann et al. (1988); 3. Reynolds et al. (1991a); 4. Deetz et al. (1982); 5. Reynolds et al. (1991b); 6. Huntington et al. (1990); 7. Lescoat et al. (1996); 8. Ellis et al. (2016); 9. Huntington et al. (1989); 10. Whitt et al. (1996); 11. Reynolds and Huntington (1988); 12. Barros Adwell et al. (2018)."
23,"1. Delaquis and Block (1995); 2. Rojen et al. (2011); 3. Ellis et al. (2016); 4. Lescoat et al. (1996); 5. Davis et al. (1988); 6. Ford et al. (1979); 7. Ford and Chenault (1981); 8. Rawy et al. (2018)."
24,"1. Conard et al. (1958); 2. Manohar et al. (1981); 3. Manohar et al. (1982); 4. Reynolds et al. (1991a); 5. Wanner et al. (1981); 6. Ortigues et al. (1995); 7. Durand et al. (1984); 8. McGilliard et al. (1971); 9. Fries and Conner (1961); 10. Huntington et al. (1989); 11. Harmon and Avery (1987); 12. Wangsness and McGilliard (1972); 13. Huntington and Prior (1983); 14. Huntington et al. (1989); 15. Carr and Jacobson (1968); 16. Durand et al. (1988); 17. Rudolph and Yuan (1966)."
28,"1. Tranquilli et al. (1982); 2. Duncker et al. (1997); 3. van Woerkens et al. (1990); 4. Manohar and Parks (1984); 5. van Woerkens (1992); 6. Lundeen et al. (1983); 7. Hannon et al. (1990); 8. Yen et al. (1989); 9. O'Connor et al. (1992); 10. Yen and Killefer (1987)"
29,"Hansard (1956)"
30,"Hansard (1956)"
31,"Hansard (1956)"
33,"Hansard (1956)"
34,"Braun, Camenzind, & Ossent, 2003; Doyle et al., 1960; Lawrence, Kenny, Earley, Crews, & McGee, 2011; Nascimento et al., 2015; Rojen et al., 2011; Weir et al., 1974"
35,"Bisgard, Ruiz, Grover, & Will, 1974; Fasules, Tryka, Chipman, & Van Devanter, 1994; Manohar et al., 1982; Reeves & Leathers, 1964a, 1964b; Reynolds et al., 1991b; Will et al., 1978"
36,"Brudevold & Southern, 1994; DeGoey, Wahlstrom, & Emerick, 1971; Gowanlock, Mahan, Jolliff, Moeller, & Hill, 2013; Groce et al., 1973; Honeyfield, Froseth, & Barke, 1985; Hyun, Ellis, Curtis, & Johnson, 2005; Russett, Krider, Cline, & Underwood, 1979; Shelton et al., 2004; Veum, Ledoux, Shannon, & Raboy, 2009; Weaver et al., 2013"
