animal_id,organ_id,mean,standard_deviation,parameter_id
28,36,4.23,1.39,4
28,23,34.83,1.63,4
28,20,18.2,1.9,4
28,19,9.57,0.87,4
28,18,5.57,0.71,4
28,44,2.03,0.15,4
28,43,1.9,0.2,4
28,17,5.93,0.55,4
28,22,3.1,0.95,4
28,45,1.9,0.66,4
28,46,1.67,0.31,4
