animal_id,organ_id,mean,standard_deviation,parameter_id
27,36,50.49,9.78,4
27,23,34.67,1.94,4
27,20,26.63,4.45,4
27,19,8.1,1.32,4
27,18,5.67,0.64,4
27,44,2.2,0.26,4
27,43,3.17,1,4
27,17,5.13,0.64,4
27,22,3.27,0.75,4
27,45,1.17,0.31,4
27,46,1.13,0.4,4
